"lakename","year","season","MUFA_perc","PUFA_perc","SAFA_perc","perc_c18.2w6","perc_c18.3w6","perc_c18.3w3","perc_c18.4w3","perc_c18.5w3","perc_c20.4w6","perc_c20.5w3","perc_c22.6w3"
"Lake Mendota",2007,"iceoff",21.180109599978,36.3390221530165,39.3636040646184,11.3243742751015,2.0668199845743,17.3439753387649,1.29210729493488,0.370239767258624,0.0125270465167226,0.203207690147305,0.0628732727807843
"Lake Mendota",2007,"iceon",21.6757741493077,38.7060678750476,37.0062226562304,10.8039194993937,1.89427416675716,18.4337904020651,1.88047247195354,1.05316882677413,0.0263271640810897,0.273830426915063,0.109666488424942
"Lake Mendota",2008,"iceoff",21.0146384753105,35.1548337618897,40.4795286518432,11.5908475403704,2.15132197696938,16.8487184488494,0.933777166590366,0.0425544411422439,0.00280031033138691,0.141396506790616,0.0249788818935311
"Lake Mendota",2008,"iceon",21.0421207571866,35.5943053830776,40.0922337704154,11.4939299007324,2.12117422177639,17.0215764694837,1.0845297187217,0.154712295112928,0.00699084590295794,0.170509933688158,0.0427155290865174
"Lake Mendota",2009,"iceoff",21.5589430237137,35.2860011491337,39.9123899248932,11.368991095418,2.1064257459777,16.7267395567687,1.00606447541391,0.359069336363172,0.0157969953941606,0.222606434772674,0.0545835468355079
"Lake Mendota",2009,"iceon",21.0799935178588,35.9313947164799,39.7772765783673,11.391427100033,2.09463551135846,17.101341213002,1.24315825196848,0.267893066342876,0.0134349569432246,0.218376787154129,0.0683464830114907
"Lake Mendota",2010,"iceoff",21.0761902383553,35.2195920617198,40.377362593054,11.5755790531539,2.14506913893325,16.8977876185605,0.921376214667169,0.0731497335969719,0.00212809360694032,0.132739631441717,0.0201645356368377
"Lake Mendota",2010,"iceon",20.8188569535818,36.1090834468016,39.8339422668819,11.3554166743676,2.09086252793493,17.0562969892122,1.47085330034743,0.247872321550825,0.0214293840034417,0.293021847687422,0.111448953895387
"Lake Mendota",2012,"iceoff",21.0682916116964,35.2779740721207,40.3350305605187,11.5632610167727,2.14146490502132,16.9167800125085,0.947672121407626,0.084927174627529,0.00289741311310106,0.138830318647138,0.0238299905123939
"Lake Mendota",2012,"iceon",25.1133127672781,35.1187218472286,37.0125880013676,9.85919149679607,1.85188687144231,14.9416735752787,1.63272268584751,2.41652927914495,0.126436560878227,0.971189956229796,0.343826891346374
"Lake Mendota",2013,"iceoff",21.0669021094807,35.4709459580682,40.1754275996189,11.5203711568368,2.12859229275777,16.9859504620642,1.02304353570983,0.131349870465768,0.00511232016200997,0.155237479755646,0.0336438829018552
